,doc_id,language,events
0,0,sr,[]
1,1,sr,[]
2,2,sr,[]
3,3,sr,[]
4,4,sr,"[{'event_type': 'government_response_policy', 'trigger': 'razmatra', 'locations': [], 'actors': ['Ministarstvo'], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
5,5,hr,[]
6,6,sr,"[{'event_type': 'clash_police_action', 'trigger': 'pratio', 'locations': [], 'actors': ['novinara Marka Dragoslavića', 'nepoznati muškarac'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Pretio mu ""ima da te utepam"".'}]"
7,7,sr,"[{'event_type': 'university_administration_action', 'trigger': 'napad', 'locations': [], 'actors': ['ministra prosvete'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Napad na autonomiju univerziteta, profesori i dekani trpe pritiske.'}]"
8,8,sr,[]
9,9,sr,[]
10,10,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'blokira', 'locations': [], 'actors': ['amandman'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Blokira TOK.'}]"
11,11,sr,[]
12,12,sr,[]
13,13,sr,"[{'event_type': 'protest', 'trigger': 'Protest', 'locations': ['Novi Sad'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Kroz objektiv fotoreportera Rojtersa.'}]"
14,14,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'strah', 'locations': [], 'actors': ['Ministar Selaković'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Strah u zavodima za zaštitu spomenika kulture zbog mogućeg ukidanja.'}]"
15,15,sr,[]
16,16,sr,[]
17,17,sr,[]
18,18,sr,"[{'event_type': 'protest', 'trigger': 'protestu', 'locations': ['Novi Sad'], 'actors': ['Student'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Tema lustracije.'}]"
19,19,sr,"[{'event_type': 'protest', 'trigger': 'Protest', 'locations': ['Novi Sad'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Protest ""Šta znači pobeda"".'}]"
20,20,sr,[]
21,21,sr,[]
22,22,sr,[]
23,23,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'kupio', 'locations': ['Užice'], 'actors': ['Alo'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Kupovina lokalne televizije.'}]"
24,24,sr,"[{'event_type': 'protest', 'trigger': 'protest studenata', 'locations': ['Novi Sad'], 'actors': [], 'time_mentions': ['Večeras'], 'confidence': 0.9, 'notes': 'Predstavljaju šta za njih znači pobeda.'}]"
25,25,sr,[]
26,26,hr,[]
27,27,sr,[]
28,28,sr,[]
29,29,sr,[]
30,30,sr,"[{'event_type': 'international_reaction', 'trigger': 'zabrinutost', 'locations': [], 'actors': ['ambasadorka Nemačke'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Negativni presedan o pravosudnim zakonima.'}]"
31,31,sr,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': [], 'actors': ['Učenici Jovine'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Održali protest povodom završetka jednonedeljnog bojkota nastave.'}]"
32,32,sr,"[{'event_type': 'clash_police_action', 'trigger': 'pojačane kontrole', 'locations': [], 'actors': ['MUP'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Zbog povećanog broja nesreća.'}]"
33,33,sr,[]
34,34,sr,"[{'event_type': 'injury_death', 'trigger': 'povređeno', 'locations': ['Novi Pazar'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Četvoro povređeno u saobraćajnoj nezgodi.'}]"
35,35,sr,[]
36,36,sr,"[{'event_type': 'traffic_blockade', 'trigger': 'blokadu', 'locations': [], 'actors': ['kamiondžije'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Blokada graničnih terminala.'}]"
37,37,sr,[]
38,38,sr,[]
39,39,sr,[]
40,40,sr,[]
41,41,sr,[]
42,42,sr,[]
43,43,sr,"[{'event_type': 'commemoration', 'trigger': 'odala poštu', 'locations': ['Novi Sad'], 'actors': ['Novosadska opozicija', 'Oliveru Ivanoviću'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Godišnjica ubistva.'}]"
44,44,sr,[]
45,45,sr,[]
46,46,sr,[]
47,47,sr,[]
48,48,sr,[]
49,49,sr,[]
50,50,sr,[]
51,51,sr,"[{'event_type': 'injury_death', 'trigger': 'podlegao povredama', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Jedan muškarac podlegao povredama, šest osoba povređeno.'}]"
52,52,sr,[]
53,53,sr,[]
54,54,hr,[]
55,55,sr,[]
56,56,sr,"[{'event_type': 'injury_death', 'trigger': 'zaleteo', 'locations': ['Novi Sad'], 'actors': ['vozač autobusa'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Tokom odavanja počasti stradalima.'}]"
57,57,sr,[]
58,58,sr,[]
59,59,sr,"[{'event_type': 'arrest', 'trigger': 'uhapšen', 'locations': ['Novi Sad'], 'actors': ['muškarac'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Ukraden dostavno vozilo.'}]"
60,60,sr,[]
61,61,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'istraga', 'locations': ['Kragujevac'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Istraga o bačenim studentskim radovima.'}]"
62,62,sr,[]
