,headline,url,datePublished,Related,doc_id,language,events
0,Slučaj ,https://www.rts.rs/vesti/politika/5868101/slucaj-banjska-vracen-na-pocetak-zbog-promene-sudskog-veca.html,"petak, 16. jan 2026, 13:45 -> 14:12",nije vezano za proteste,0,und,[]
1,Đurić sa Sorensenom: Ispunjenje svih dogovorenih obaveza neophodno za obnavljanje smislenog dijaloga,https://www.rts.rs/vesti/politika/5868078/djuric-sorensen-beograd-pristina-dijalog-petkovic.html,"petak, 16. jan 2026, 13:29 -> 13:36",vezano za proteste,1,sr,[]
2,"Vučić: Nisu laki razgovori sa MOL-om, verujem da će biti sve u redu",https://www.rts.rs/vesti/politika/5867944/vucic-nisu-laki-razgovori-sa-mol-om-verujem-da-ce-biti-sve-u-redu.html,"petak, 16. jan 2026, 12:10 -> 15:40",nije vezano za proteste,2,sr,[]
3,"Gogić: Dijalog Beograda i Prištine u slobodnom padu, bez snažnije uloge SAD nema oporavka",https://www.rts.rs/vesti/politika/5867711/dijalog-beograd-pristina-kosovo-metohija-kim-ognjen-gogic.html,"petak, 16. jan 2026, 09:30 -> 09:36",vezano za proteste,3,sr,[]
4,"Osam godina od ubistva Olivera Ivanovića – odata pošta na mestu zločina, pomen u Hramu Svetog Save",https://www.rts.rs/vesti/politika/5867702/godisnjica-ubistvo-oliver-ivanovic.html,"petak, 16. jan 2026, 07:28 -> 17:43",vezano za proteste,4,sr,"[{'event_type': 'commemoration', 'trigger': 'odata pošta', 'locations': ['mesto zločina', 'Hram Svetog Save'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Odata pošta i pomen za Olivera Ivanovića.'}]"
5,"Sijarto za RTS: Rafinerija u Pančevu je ključna, preko MOL-a će biti integrisana tržišta tri države",https://www.rts.rs/vesti/politika/5867510/peter-sijarto-mol-kupovina-nis-gaspromnjeft-rok-rafinerija-pancevo.html,"petak, 16. jan 2026, 07:05 -> 15:22",vezano za proteste,5,sr,[]
6,Račak kao izgovor za agresiju – Voker bio brži od istražnih organa ,https://www.rts.rs/vesti/politika/5867504/racak-godisnjica.html,"četvrtak, 15. jan 2026, 20:10 -> 21:08",nije vezano za proteste,6,sr,[]
7,Sijarto za RTS: Za jedan do tri dana dogovor MOL-a sa ,https://www.rts.rs/vesti/politika/5867487/peter-sijarto-mol-kupovina-nis-gaspromnjeft-rok.html,"četvrtak, 15. jan 2026, 19:45 -> 20:43",vezano za proteste,7,und,[]
8,"Kopman: Prva tranša znači da je Srbija ispunila reforme, ali treba još da se radi",https://www.rts.rs/vesti/politika/5867490/plan-rasta-brisel-zapadni-balkan.html,"četvrtak, 15. jan 2026, 17:58 -> 18:15",vezano za proteste,8,sr,[]
9,"Bisljimi: Zakon o vozilima i zakon o strancima primenjuje se od sutra, dva meseca informativno",https://www.rts.rs/vesti/politika/5867477/bisljimi-zakon-o-vozilima-i-zakon-o-strancima-primenjuje-se-od-sutra-dva-meseca-informativno.html,"četvrtak, 15. jan 2026, 17:28 -> 19:16",vezano za proteste,9,sr,[]
