,label,confidence,rationale
0,related,0.62,"Rečenica opisuje događaj/posledicu (iskliznuli vagoni kod Kosjerića) i navodi da i dalje stoje pored puta, što je tipično za lokalnu vest o železničkom incidentu i stanju na terenu."
1,related,0.74,Naslov govori o zabrinutosti roditelja za bezbednost dece u hali Pinki i navodima nadležnih da je inspekcija utvrdila da je objekat u dobrom stanju—obe teme su direktno povezane bezbednošću i stanjem objekta.
2,related,0.74,"Naslov je na srpskom i govori o političkoj temi (DSS, evroparlamentarci, sastanak), što je tipično za vest/politički kontekst i verovatno je povezano sa aktuelnim događajima ili izjavama."
3,related,0.74,Pitanje je na srpskom i traži procenu opravdanosti cene auto-škole u Nišu i poređenje sa drugim gradovima; to je tipičan upit za informativno objašnjenje i poređenje cena/uslova.
4,related,0.74,"Rečenica govori o obrazovnoj politici (skraćenje časova) i razlozima vezanim za pažnju dece, što je tipično za vest/saopštenje o školstvu."
5,related,0.62,"Rečenica je politička izjava/komentar o Plenkoviću i Vučiću; bez dodatnog konteksta nije jasno na što se točno odnosi, ali tema je javno-politička i uspoređuje dvojicu političara."
6,related,0.78,"Naslov govori o pretnjama i uznemiravanju novinara, što je tipično povezano sa temama bezbednosti novinara, slobode medija i pritisaka na medije."
7,related,0.74,"Naslov govori o potezu ministra prosvete i pritiscima na profesore/dekane, što je tema obrazovne politike i autonomije univerziteta."
8,related,0.86,"Rečenica opisuje vremenske prilike (košava, subjektivni osećaj hladnoće, ledeni dan na istoku Srbije), što je tipičan meteorološki/vesti naslov."
9,related,0.74,"Naslov govori o padu temperature narednih dana uz upozorenje da kratkotrajno toplije vreme može doneti rizike/oprez, što je u skladu sa temom vremenske prognoze i upozorenja."
10,related,0.74,"Naslov govori o političkom amandmanu koji može blokirati TOK i o 'čišćenju' tužilaštva, što je tema vezana za rad tužilaštva/pravosuđa i potencijalno antikorupcijske institucije."
11,related,0.74,"Izjava se odnosi na Ljiljanu Smajlović i njenu ocenu ponašanja nemačke ambasadorke, što je političko-medijska tema i verovatno deo šireg konteksta o odnosima Srbije i Nemačke."
12,related,0.62,"Naslov je na srpskom i deluje kao novinski/medijski naslov o dešavanjima u školama (čistke, glas struke) i konkretno Politehničkoj školi u Subotici; bez dodatnog konteksta nije moguće preciznije odrediti na šta se tačno odnosi, ali tema je jasno obrazovanje i kadrovske promene."
13,related,0.62,"Naslov na srpskom govori o protestu u Novom Sadu i fotografijama fotoreportera Rojtersa; deluje kao vest/izveštaj o aktuelnom događaju, ali bez dodatnog konteksta nije moguće preciznije odrediti temu ili vezu sa konkretnim sadržajem."
14,related,0.62,"Naslov sugeriše političku pretnju iz Skupštine i posledice po zavode za zaštitu spomenika kulture (strah od ukidanja), što je tematski povezano kroz oblast kulturne politike i institucija zaštite kulturnog nasleđa."
15,related,0.74,"Pitanje je na srpskom i odnosi se na mogućnost da roditelji u Srbiji unapred odrede staratelja za decu u slučaju smrti, što je tema porodičnog prava i javne politike; bez dodatnog konteksta nije jasno da li se misli na konkretan predlog zakona ili aktuelnu vest."
16,related,0.78,"Naslov govori o stanju na putevima u Srbiji (magla, prohodnost, sneg u planinskim predelima), što je tipična saobraćajna/putna informacija i deluje kao relevantna vest o uslovima vožnje."
