,0,1
0,Vučić,433
1,Srbija,304
2,srpski,273
3,izbor,206
4,nov,202
5,skupština,180
6,protest,165
7,predsednik,152
8,Priština,147
9,blokada,137
10,student,133
11,lista,132
12,sav,106
13,dan,106
14,Novi Sad,106
15,kim,101
16,EU,100
17,policija,98
18,godina,96
19,saradnja,96
20,zakon,94
21,Beograd,94
22,dijalog,92
23,Srbin,91
24,sednica,88
25,građanin,77
26,politički,72
27,sud,71
28,opozicija,70
29,KiM,69
30,odluka,68
31,zločin,65
32,Vučević,65
33,evropski,64
34,grad,64
35,velik,63
36,sastanak,62
37,savet,61
38,suđenje,61
39,NIS -,61
40,napad,61
41,moći,60
42,podrška,58
43,važan,56
44,odnos,56
45,sankcija,55
46,Macut,54
47,usvojiti,53
48,ratni,52
49,situacija,52
50,nemati,51
51,zemlja,50
52,rad,50
53,narod,49
54,SNS -,49
55,Vlada,49
56,razgovarati,48
57,pokušaj,48
58,razgovor,47
59,pritvor,47
60,Đurić,47
61,država,46
62,skup,46
63,put,45
64,vlada,45
65,Dačić,45
66,poslanik,45
67,poseta,45
68,odbor,44
69,u,44
70,tražiti,43
71,ministar,43
72,morati,43
73,imati,42
74,prvi,41
75,zahtev,40
76,vlast,40
77,pitanje,40
78,bezbednost,39
79,kandidat,39
80,opština,39
81,zgrada,38
82,navodni,38
83,parlament,38
84,red,37
85,fakultet,37
86,mir,37
87,predstavnik,37
88,ambasador,37
89,nasilje,37
90,Brnabić,37
91,drugi,37
92,pravo,36
93,incident,36
94,klaster,35
95,otvaranje,35
96,predlog,35
97,glađu,35
98,raditi,34
99,tužilaštvo,34
100,nastavljati,34
101,jačanje,34
102,institucija,34
103,dobar,33
104,biće,33
105,premijer,33
106,saziv,33
107,SAD,32
108,osuditi,32
109,očekivati,32
110,trebati,31
111,sporazum,31
112,veza,31
113,stići,31
114,ministarstvo,30
115,lokalan,30
116,birački,30
117,Vlada Srbija,30
118,žalba,30
119,međunarodni,30
120,RTS,29
121,izborni,29
122,nacionalan,29
123,nastavak,29
124,zajednički,29
125,osoba,29
126,konstituisanje,29
127,član,28
128,politika,28
129,zaštita,28
130,budžet,28
131,REM -,27
132,rešenje,27
133,Kosovo Metohija,27
134,otvoriti,27
135,grupa,27
136,deo,27
137,zastava,27
138,željeti,27
139,budućnost,27
140,pozvati,26
141,kraj,26
142,Srbija Vučić,26
143,zapadni,26
144,odbrana,26
145,ostavka,26
146,sever,26
147,samit,26
148,cilj,26
149,centar,26
150,ekonomski,26
151,Beograd Priština,25
152,ključan,25
153,stranka,25
154,štrajk,25
155,nastaviti,25
156,sat,25
157,optužnica,25
158,poziv,25
159,uhapšiti,25
160,mesec,24
161,kultura,24
162,pobeda,24
163,Kurti,24
164,javan,24
165,plan,24
166,odgovornost,24
167,reforma,23
168,mandat,23
169,Petković,23
170,rezultat,23
171,kuća,23
172,dvi,23
173,članstvo,23
174,završiti,23
175,navodn,23
176,šetnja,23
177,čovjek,23
178,most,22
179,američki,22
180,izveštaj,22
181,nadati,22
182,region,22
183,glas,22
184,rasprava,22
185,strateški,22
186,borba,22
187,učešće,22
188,univerzitet,22
189,policajac,22
190,prostorija,22
191,kriza,21
192,primiti,21
193,kancelarija,21
194,korak,21
195,kosovski,21
196,ostajati,21
197,izmena,21
198,okupljanje,21
199,RTS -,21
200,čestitati,21
201,dobiti,20
202,energetski,20
203,Balkan,20
204,problem,20
205,proces,20
206,gradonačelnik,20
207,sastati,20
208,formiranje,20
209,policijski,20
210,dogovor,19
211,Brisel,19
212,proširenje,19
213,ruski,19
214,stabilnost,19
215,visok,19
216,blokirati,19
217,spreman,19
218,nadstrešnica,19
219,susret,19
220,zajednica,19
221,Mitrovica,19
222,rektor,18
223,rast,18
224,presuda,18
225,unapređenje,18
226,uprava,18
227,mesto,18
228,glasanje,18
229,Vučić RTS,18
230,krivičan,18
231,obrazovanje,18
232,delegacija,18
233,Srbin KiM,18
234,komisija,18
235,pobediti,18
236,Kosovska Mitrovica,18
237,slučaj,17
238,snaga,17
239,zatvor,17
240,del,17
241,posao,17
242,mera,17
243,izjava,17
244,prijava,17
245,pregovor,17
246,uputiti,17
247,državni,17
248,najaviti,17
249,društvo,17
250,Vučić Srbija,17
251,sukob,17
252,pad,16
253,pošta,16
254,narodni,16
255,kampanja,16
256,ustavan,16
257,potreban,16
258,skupštinski,16
259,decembra,16
260,nedelja,16
261,hapšenje,16
262,sloboda,16
263,poruka,16
264,učestvovati,16
265,evra,16
266,partnerstvo,16
267,protestan,16
268,stanje,16
269,- a,16
270,pozivati,16
271,vratiti,16
272,pokret,16
273,obraćati,16
274,Igor Popović,16
275,rok,15
276,pokazati,15
277,vojni,15
278,parlamentaran,15
279,interes,15
280,partner,15
281,gas,15
282,predati,15
283,posetiti,15
284,porodica,15
285,postojati,15
286,ulazak,15
287,dnevni,15
288,Leposavić,15
289,optužen,15
290,moguć,15
291,pomoć,15
292,izazov,15
293,tenzija,15
294,studentski,15
295,potvrditi,15
296,užica,15
297,uredba,15
298,UN,15
299,javnost,15
300,integritet,14
301,sistem,14
302,počinjati,14
303,mart,14
304,jedinstvo,14
305,optužba,14
306,odbornik,14
