,0,1
0,student,4298
1,Srbija,2383
2,protest,1958
3,građanin,1778
4,Novi Sad,1528
5,blokada,1463
6,vlast,1452
7,policija,1444
8,dan,1434
9,Vučić,1382
10,nov,1350
11,Beograd,1321
12,izbor,959
13,godina,944
14,moći,891
15,tražiti,847
16,fakultet,765
17,sav,758
18,imati,750
19,nemati,746
20,osoba,742
21,napad,738
22,skupština,714
23,podrška,704
24,velik,691
25,čovjek,668
26,N1,667
27,profesor,652
28,VIDEO,651
29,škola,606
30,skup,603
31,rad,589
32,sud,567
33,srpski,566
34,novinar,559
35,opozicija,552
36,pritvor,536
37,tužilaštvo,530
38,predsednik,527
39,SNS,508
40,medij,508
41,zakon,491
42,grad,490
43,gimnazija,481
44,put,479
45,direktor,478
46,kazati,474
47,studentski,461
48,današnji,460
49,muškarac,458
50,prijava,446
51,pozvati,443
52,ministarstvo,437
53,država,434
54,raditi,433
55,prvi,421
56,Niš,416
57,javan,414
58,morati,412
59,drugi,406
60,požar,402
61,zgrada,401
62,zahtev,398
63,nasilje,395
64,Kosovo,389
65,uhapšen,389
66,ministar,388
67,univerzitet,384
68,trebati,384
69,radnik,381
70,EU,380
71,centar,378
72,pomoć,377
73,režim,375
74,dobiti,374
75,odluka,374
76,politički,372
77,voda,363
78,evropski,362
79,ulica,357
80,sloboda,353
81,vučićev,353
82,sednica,348
83,krivičan,346
84,nadstrešnica,346
85,pad,343
86,grupa,342
87,slučaj,341
88,sat,327
89,aktivist,318
90,član,317
91,saobraćaj,315
92,znati,315
93,beogradski,314
94,doći,311
95,policajac,308
96,pretnja,306
97,ostavka,306
98,blokirati,303
99,osuditi,301
100,incident,296
101,najaviti,292
102,mup,291
103,savet,290
104,objaviti,289
105,akcija,289
106,borba,287
107,ubistvo,283
108,zemlja,281
109,stanica,281
110,dvi,280
111,hitan,278
112,deo,278
113,nesreća,275
114,pozivati,271
115,opština,270
116,mesec,270
117,automobil,269
118,roditelj,267
119,korupcija,267
120,kuća,265
121,vreme,263
122,zaposlen,261
123,poruka,260
124,tvrditi,259
125,uhapšiti,259
126,institucija,258
127,očekivati,255
128,sindikat,255
129,vlada,255
130,most,254
131,povređen,252
132,podržati,252
133,novosadski,250
134,milion,249
135,stići,249
136,hapšenje,247
137,problem,246
138,žena,245
139,lista,244
140,željeti,244
141,čekati,241
142,društvo,241
143,štrajk,241
144,broj,239
145,pravo,238
146,gradonačelnik,238
147,situacija,235
148,vozač,233
149,posao,233
150,stanje,231
151,foto,230
152,pokušaj,229
153,ići,227
154,pravda,226
155,pritisak,226
156,RTS,225
157,kraj,223
158,dinar,221
159,pokret,221
160,evra,221
161,dati,220
162,tok,217
163,uprava,216
164,park,216
165,državni,215
166,pitanje,214
167,bivši,213
168,Kragujevac,213
169,noć,210
170,poslanik,209
171,učenik,209
172,postupak,209
173,mlad,208
174,policijski,205
175,studentkinja,203
176,medicinski,203
177,poziv,203
178,video,202
179,novac,202
180,temperatura,201
181,nastava,197
182,ostajati,197
183,mesto,196
184,vozilo,195
185,suđenje,195
186,narod,194
187,vratiti,192
188,odgovornost,190
189,rektor,190
190,diete,189
191,sastanak,188
192,Sad,187
193,osumnjičen,187
194,rešenje,186
195,bezbednost,183
196,izjava,183
197,istraga,182
198,odbor,182
199,nastavljati,182
200,dekan,181
201,razgovor,181
202,saobraćajni,180
203,minuta,179
204,oružje,179
205,poručiti,179
206,Dačić,179
207,slobodan,178
208,Vlada,177
209,AMSS,176
210,Brnabić,176
211,žrtva,175
212,moguć,173
213,biće,172
214,postojati,172
215,sistem,170
216,gradski,170
217,prosveta,169
218,nedelja,169
219,politika,169
220,stepen,168
221,kandidat,168
222,postati,168
223,ruka,168
224,represija,166
225,udariti,166
226,zatvor,166
227,medijski,166
228,mladić,166
229,zaštita,165
230,zvučan,165
231,vidjeti,165
232,prostorija,165
233,rok,164
234,šetnja,164
235,nastavnik,164
236,sumnja,163
237,niški,163
238,kolega,162
239,nastaviti,161
240,ostati,160
241,auto,159
242,voditi,159
243,optužnica,159
244,početi,158
245,profesorka,158
246,Vučević,158
247,RTS -,158
248,dobar,157
249,predlog,156
250,veza,156
251,upozorenje,156
252,kriza,156
253,SNS -,156
254,deca,155
255,dnevnik,154
256,napadač,154
257,pokrenuti,153
258,pokazati,152
259,plan,152
260,del,152
261,pismo,151
262,doček,151
263,nezgoda,150
264,dijalog,150
265,zbor,150
266,novinarka,149
267,ko,149
268,smena,148
269,odgovor,148
270,pravnog,147
271,selo,147
272,Novi Pazar,147
273,obustava,147
274,star,146
275,glas,145
276,zajednica,145
277,komisija,145
278,autobus,144
279,odbiti,144
280,tragedija,144
281,struja,143
282,život,143
283,mali,143
284,plenum,143
285,gledajte,143
286,lokalan,142
287,porodica,142
288,u,142
289,potreban,141
290,1,141
291,reći,140
292,kontrola,140
293,pokušati,140
294,Niša,140
295,otkaz,140
296,Tepić,139
297,reagovati,139
298,visok,139
299,budžet,139
300,promena,139
301,završiti,139
302,kosovski,138
303,red,138
304,filozofski,138
305,kamion,137
306,pitati,137
307,govoriti,137
308,inicijativa,137
309,udruženje,137
310,mest,137
311,osumnjičiti,136
312,odbrana,136
313,Subotica,135
314,cilj,135
315,početak,135
316,saobraćajan,134
317,određen,134
318,izveštaj,134
319,važan,134
320,poginuti,133
321,odgovarati,133
322,uživo,133
323,čas,132
324,održati,132
325,rat,132
326,dozvola,132
327,krenuti,132
328,stranka,132
329,tv,132
330,povrediti,132
331,podržavati,132
332,služba,131
333,akademski,131
334,proces,131
335,izmena,131
336,premijer,131
337,kreni,131
338,vožnja,130
339,poslednji,130
340,lice,130
341,kazna,130
342,direktorka,130
343,savski,130
344,ekipa,129
345,đak,129
346,SSP,128
347,sukob,128
348,sneg,127
349,15,127
350,majka,127
351,pretiti,124
352,nacionalan,124
353,izborni,124
354,čovek,124
355,rasprava,124
356,usl,124
357,parlament,124
358,Pazar,124
359,Novi Beograd,124
360,kiša,122
361,Zaječar,122
362,anem,121
363,kultura,121
364,prevoz,121
365,delo,121
366,pisati,120
367,strana,120
368,top,120
369,trg,119
370,pustiti,119
371,bolnica,119
372,Evropa,119
373,braniti,119
374,jovina,118
375,MUP,118
376,otvoren,118
377,javnost,118
378,sudija,117
379,projekt,117
380,BLOG,116
381,sudar,116
382,funkcioner,116
383,advokat,116
384,tišina,116
385,koristiti,115
386,pravosuđe,115
387,vojni,115
388,odgovoran,115
389,jedini,115
390,pripadnik,115
391,rušenje,115
392,nadležan,114
393,informacija,114
394,spreman,114
395,napustiti,114
396,stan,114
397,većina,114
398,Kosjerić,113
399,izgledati,113
400,plata,113
401,reakcija,113
402,sila,113
403,Ćacilend,113
404,niko,113
405,ući,113
406,mart,112
407,VJT,112
408,Čačka,112
409,železnički,112
410,dom,112
411,otvoriti,111
412,snaga,111
413,svet,110
414,petak,110
415,mreža,110
416,način,110
417,sankcija,110
418,zadržavanje,110
419,ime,110
420,prosvetar,110
421,isti,109
422,zdravlje,109
423,odbornik,109
424,predstavnik,109
425,vest,109
426,budućnost,109
427,podneti,109
428,prav,109
429,FDU,109
430,demonstrant,109
431,razlog,108
432,ustavan,108
433,pasti,108
434,poljoprivrednik,108
435,poseta,107
436,stati,107
437,dočekati,107
438,birački,107
439,roditelji,106
440,firma,106
441,Valjev,106
442,ruski,105
443,pošta,105
444,misliti,105
445,UNS,105
446,oktobar,105
447,sredstvo,104
448,generalan,104
449,kampanja,104
450,stizati,104
451,zaustaviti,103
452,strah,103
453,međunarodni,103
454,subota,103
455,Šapić,103
456,živjeti,103
457,okupljanje,103
458,izgubiti,102
459,pokušavati,102
460,glavni,102
461,privesti,101
462,linija,101
463,naprednjak,101
464,obrazovanje,100
465,odnos,100
466,saslušanje,99
467,protestan,99
468,platiti,98
469,organizacija,98
470,tužba,98
471,sam,98
472,nagrada,98
473,snimak,98
474,ponedeljak,97
475,putevi,97
476,program,97
477,optužiti,97
478,žalba,97
479,inspekcija,96
480,pobeda,96
481,povreda,96
482,protestovati,96
483,uputiti,96
484,proći,96
485,sin,96
486,prelaz,96
487,ulaz,96
488,studentkinje,96
489,jun,96
490,januar,95
491,glava,95
492,Mitrovica,95
493,pokazivati,95
494,pete,95
495,povređene,94
496,odgovoriti,94
497,znak,94
498,pravni,94
499,učesnik,94
500,učestvovati,94
501,granica,93
502,ostali,93
503,BIA,93
504,dokaz,93
505,blog,93
506,dečak,93
507,institut,92
508,REM -,92
509,vlasnik,92
510,treći,92
511,radni,92
512,napasti,92
513,glađu,92
514,obezbeđenje,92
515,udar,91
516,dvojica,91
517,preminuti,91
518,Jovanović,91
519,vrijeme,91
520,korak,90
521,kilogram,90
522,državljanin,90
523,građanski,90
524,opasnost,89
525,vanredan,89
526,nemački,89
527,nastavak,89
528,rezultat,89
