headline,url,datePublished
Случај ,https://www.rts.rs/vesti/politika/5868101/slucaj-banjska-vracen-na-pocetak-zbog-promene-sudskog-veca.html,"петак, 16. јан 2026, 13:45 -> 14:12"
Ђурић са Соренсеном: Испуњење свих договорених обавеза неопходно за обнављање смисленог дијалога,https://www.rts.rs/vesti/politika/5868078/djuric-sorensen-beograd-pristina-dijalog-petkovic.html,"петак, 16. јан 2026, 13:29 -> 13:36"
"Вучић: Нису лаки разговори са МОЛ-ом, верујем да ће бити све у реду",https://www.rts.rs/vesti/politika/5867944/vucic-nisu-laki-razgovori-sa-mol-om-verujem-da-ce-biti-sve-u-redu.html,"петак, 16. јан 2026, 12:10 -> 15:40"
"Гогић: Дијалог Београда и Приштине у слободном паду, без снажније улоге САД нема опоравка",https://www.rts.rs/vesti/politika/5867711/dijalog-beograd-pristina-kosovo-metohija-kim-ognjen-gogic.html,"петак, 16. јан 2026, 09:30 -> 09:36"
"Осам година од убиства Оливера Ивановића – одата пошта на месту злочина, помен у Храму Светог Саве",https://www.rts.rs/vesti/politika/5867702/godisnjica-ubistvo-oliver-ivanovic.html,"петак, 16. јан 2026, 07:28 -> 17:43"
"Сијарто за РТС: Рафинерија у Панчеву је кључна, преко МОЛ-а ће бити интегрисана тржишта три државе",https://www.rts.rs/vesti/politika/5867510/peter-sijarto-mol-kupovina-nis-gaspromnjeft-rok-rafinerija-pancevo.html,"петак, 16. јан 2026, 07:05 -> 15:22"
Рачак као изговор за агресију – Вокер био бржи од истражних органа ,https://www.rts.rs/vesti/politika/5867504/racak-godisnjica.html,"четвртак, 15. јан 2026, 20:10 -> 21:08"
Сијарто за РТС: За један до три дана договор МОЛ-а са ,https://www.rts.rs/vesti/politika/5867487/peter-sijarto-mol-kupovina-nis-gaspromnjeft-rok.html,"четвртак, 15. јан 2026, 19:45 -> 20:43"
"Копман: Прва транша значи да је Србија испунила реформе, али треба још да се ради",https://www.rts.rs/vesti/politika/5867490/plan-rasta-brisel-zapadni-balkan.html,"четвртак, 15. јан 2026, 17:58 -> 18:15"
"Бисљими: Закон о возилима и закон о странцима примењује се од сутра, два месеца информативно",https://www.rts.rs/vesti/politika/5867477/bisljimi-zakon-o-vozilima-i-zakon-o-strancima-primenjuje-se-od-sutra-dva-meseca-informativno.html,"четвртак, 15. јан 2026, 17:28 -> 19:16"
